年月,項目,數值,欄位名
10203,M1B,12653656000000,M1B
10203,金融機構存款餘額,33345189000000,F_Ins_Dp
10203,金融機構放款餘額,23057637000000,F_Ins_Ln
10203,貨幣機構存款餘額,33345189000000,C_Ins_Dp
10203,貨幣機構放款餘額,21776900000000,C_Ins_Ln
10203,一般銀行國內總分行對中小企業放款,4489968000000,Country_SME
10203,一般銀行國內總分行及信用合作社消費者貸款餘額,1196967000000,Country_C_CL
10203,一般銀行國內總分行消費者貸款餘額,6696552000000,Country_CL
10203,票券公司票債券交易金額(本月),3431613000000,Bund_Txn_Amt
10203,票券公司票債券交易金額(本年）,9718598000000,Bund_Txn_Amt_TY
10203,股價指數,7918.61,Stock_Index
10203,WPI,97.4,WPI
10203,CPI,101.43,CPI
10203,匯率,29.875,Exchange_Rate
10203,央行重貼現率,1.875,Rediscount_Rate
10203,基準利率,2.883,B_Ins_Rate
10203,經濟成長率,3.26,GDP
10203,外匯存底,401890000000,Y_DP
