年月,項目,數值,欄位名
10108,M1B,12044104000000,M1B
10108,金融機構存款餘額,32361008000000,F_Ins_Dp
10108,金融機構放款餘額,22512578000000,F_Ins_Ln
10108,貨幣機構存款餘額,32361008000000,C_Ins_Dp
10108,貨幣機構放款餘額,21287345000000,C_Ins_Ln
10108,一般銀行國內總分行對中小企業放款,4325553000000,Country_SME
10108,一般銀行國內總分行及信用合作社消費者貸款餘額,1166103000000,Country_C_CL
10108,一般銀行國內總分行消費者貸款餘額,6689999000000,Country_CL
10108,票券公司票債券交易金額(本月),3784899000000,Bund_Txn_Amt
10108,票券公司票債券交易金額(本年）,28976806000000,Bund_Txn_Amt_TY
10108,股價指數,7397.06,Stock_Index
10108,WPI,99.26,WPI
10108,CPI,103.53,CPI
10108,匯率,29.966,Exchange_Rate
10108,央行重貼現率,1.875,Rediscount_Rate
10108,基準利率,2.923,B_Ins_Rate
10108,經濟成長率,0.98,GDP
10108,外匯存底,394226000000,Y_DP
