年月,項目,數值,欄位名
9509,M1B,7927808000000,M1B
9509,金融機構存款餘額,24554440000000,F_Ins_Dp
9509,金融機構放款餘額,18431386000000,F_Ins_Ln
9509,貨幣機構存款餘額,24554440000000,C_Ins_Dp
9509,貨幣機構放款餘額,17337521000000,C_Ins_Ln
9509,一般銀行國內總分行對中小企業放款,2738236000000,Country_SME
9509,一般銀行國內總分行及信用合作社消費者貸款餘額,1039705000000,Country_C_CL
9509,一般銀行國內總分行消費者貸款餘額,6256138000000,Country_CL
9509,信託機構基金月底餘額,3378257000000,MF_Bal
9509,票券公司票債券交易金額,9441755000000,Bund_Txn_Amt
9509,票券公司票債券交易金額(本年）,91478535000000,Bund_Txn_Amt_TY
9509,股價指數,6883.05,Stock_Index
9509,WPI,92.34,WPI
9509,CPI,93.56,CPI
9509,美元匯率,33.098,Exchange_Rate
9509,央行重貼現率,2.625,Rediscount_Rate
9509,基準利率,4.042,B_Ins_Rate
9509,經濟成長率,6.48,GDP
9509,外匯存底,261551000000,Y_DP
