年月,項目,數值,欄位名
9907,M1B,10784598000000,M1B
9907,金融機構存款餘額,29440245000000,F_Ins_Dp
9907,金融機構放款餘額,20370685000000,F_Ins_Ln
9907,貨幣機構存款餘額,29440245000000,C_Ins_Dp
9907,貨幣機構放款餘額,19182256000000,C_Ins_Ln
9907,一般銀行國內總分行對中小企業放款,3406671000000,Country_SME
9907,一般銀行國內總分行及信用合作社消費者貸款餘額,973404000000,Country_C_CL
9907,一般銀行國內總分行消費者貸款餘額,6697549000000,Country_CL
9907,票券公司票債券交易金額(本月),4258679000000,Bund_Txn_Amt
9907,票券公司票債券交易金額(本年）,29135336000000,Bund_Txn_Amt_TY
9907,股價指數,7760.63,Stock_Index
9907,WPI,95.9,WPI
9907,CPI,98.76,CPI
9907,匯率,32.05,Exchange_Rate
9907,央行重貼現率,1.375,Rediscount_Rate
9907,基準利率,2.592,B_Ins_Rate
9907,經濟成長率,11.57,GDP
9907,外匯存底,370108000000,Y_DP
