年月,項目,數值,欄位名
9801,M1B,8483397000000,M1B
9801,金融機構存款餘額,27298596000000,F_Ins_Dp
9801,金融機構放款餘額,19610785000000,F_Ins_Ln
9801,貨幣機構存款餘額,27298596000000,C_Ins_Dp
9801,貨幣機構放款餘額,18347325000000,C_Ins_Ln
9801,一般銀行國內總分行對中小企業放款,3108774000000,Country_SME
9801,一般銀行國內總分行及信用合作社消費者貸款餘額,1025630000000,Country_C_CL
9801,一般銀行國內總分行消費者貸款餘額,6422392000000,Country_CL
9801,票券公司票債券交易金額(本月),3173629000000,Bund_Txn_Amt
9801,票券公司票債券交易金額(本年）,3173629000000,Bund_Txn_Amt_TY
9801,股價指數,4247.97,Stock_Index
9801,WPI,88.25,WPI
9801,CPI,97.62,CPI
9801,匯率,33.801,Exchange_Rate
9801,央行重貼現率,1.5,Rediscount_Rate
9801,基準利率,3.91,B_Ins_Rate
9801,經濟成長率,-8.12,GDP
9801,外匯存底,292676000000,Y_DP
