年月,項目,數值,欄位名
9706,M1B,7998014000000,M1B
9706,金融機構存款餘額,25924303000000,F_Ins_Dp
9706,金融機構放款餘額,19550068000000,F_Ins_Ln
9706,貨幣機構存款餘額,25924303000000,C_Ins_Dp
9706,貨幣機構放款餘額,18334809000000,C_Ins_Ln
9706,一般銀行國內總分行對中小企業放款,3191146000000,Country_SME
9706,一般銀行國內總分行及信用合作社消費者貸款餘額,1080341000000,Country_C_CL
9706,一般銀行國內總分行消費者貸款餘額,6485805000000,Country_CL
9706,信託機構基金月底餘額,6298070000000,MF_Bal
9706,票券公司票債券交易金額,4548564000000,Bund_Txn_Amt
9706,票券公司票債券交易金額(本年）,30629356000000,Bund_Txn_Amt_TY
9706,股價指數,7523.54,Stock_Index
9706,WPI,104.24,WPI
9706,CPI,99.25,CPI
9706,美元匯率,30.354,Exchange_Rate
9706,央行重貼現率,3.625,Rediscount_Rate
9706,基準利率,4.396,B_Ins_Rate
9706,經濟成長率,5.66,GDP
9706,外匯存底,291405000000,Y_DP
