年月,項目,數值,欄位名
9811,M1B,10256307000000,M1B
9811,金融機構存款餘額,28673823000000,F_Ins_Dp
9811,金融機構放款餘額,19536224000000,F_Ins_Ln
9811,貨幣機構存款餘額,28673823000000,C_Ins_Dp
9811,貨幣機構放款餘額,18331949000000,C_Ins_Ln
9811,一般銀行國內總分行對中小企業放款,3142349000000,Country_SME
9811,一般銀行國內總分行及信用合作社消費者貸款餘額,972342000000,Country_C_CL
9811,一般銀行國內總分行消費者貸款餘額,6554898000000,Country_CL
9811,票券公司票債券交易金額(本月),3614617000000,Bund_Txn_Amt
9811,票券公司票債券交易金額(本年）,43101231000000,Bund_Txn_Amt_TY
9811,股價指數,7582.21,Stock_Index
9811,WPI,93.58,WPI
9811,CPI,98.22,CPI
9811,匯率,32.185,Exchange_Rate
9811,央行重貼現率,1.25,Rediscount_Rate
9811,基準利率,2.579,B_Ins_Rate
9811,經濟成長率,8.82,GDP
9811,外匯存底,347190000000,Y_DP
