年月,項目,數值,欄位名
9504,M1B,7766050000000,M1B
9504,金融機構存款餘額,24210798000000,F_Ins_Dp
9504,金融機構放款餘額,18281475000000,F_Ins_Ln
9504,貨幣機構存款餘額,24210798000000,C_Ins_Dp
9504,貨幣機構放款餘額,17229112000000,C_Ins_Ln
9504,一般銀行國內總分行對中小企業放款,2606048000000,Country_SME
9504,一般銀行國內總分行及信用合作社消費者貸款餘額,1047566000000,Country_C_CL
9504,一般銀行國內總分行消費者貸款餘額,6224310000000,Country_CL
9504,信託機構基金月底餘額,2946565000000,MF_Bal
9504,票券公司票債券交易金額,9573222000000,Bund_Txn_Amt
9504,票券公司票債券交易金額(本年）,44813007000000,Bund_Txn_Amt_TY
9504,股價指數,7171.77,Stock_Index
9504,WPI,86.7,WPI
9504,CPI,93.15,CPI
9504,美元匯率,31.913,Exchange_Rate
9504,央行重貼現率,2.375,Rediscount_Rate
9504,基準利率,3.947,B_Ins_Rate
9504,經濟成長率,5.78,GDP
9504,外匯存底,259035000000,Y_DP
