年月,項目,數值,欄位名
9809,M1B,9833183000000,M1B
9809,金融機構存款餘額,28375026000000,F_Ins_Dp
9809,金融機構放款餘額,19507954000000,F_Ins_Ln
9809,貨幣機構存款餘額,28375026000000,C_Ins_Dp
9809,貨幣機構放款餘額,18281461000000,C_Ins_Ln
9809,一般銀行國內總分行對中小企業放款,3095371000000,Country_SME
9809,一般銀行國內總分行及信用合作社消費者貸款餘額,929930000000,Country_C_CL
9809,一般銀行國內總分行消費者貸款餘額,6555878000000,Country_CL
9809,票券公司票債券交易金額(本月),4170837000000,Bund_Txn_Amt
9809,票券公司票債券交易金額(本年）,35427528000000,Bund_Txn_Amt_TY
9809,股價指數,7509.17,Stock_Index
9809,WPI,93.0,WPI
9809,CPI,98.58,CPI
9809,匯率,32.2,Exchange_Rate
9809,央行重貼現率,1.25,Rediscount_Rate
9809,基準利率,2.615,B_Ins_Rate
9809,經濟成長率,-1.42,GDP
9809,外匯存底,332239000000,Y_DP
