年月,項目,數值,欄位名
9902,M1B,10598494000000,M1B
9902,金融機構存款餘額,29009163000000,F_Ins_Dp
9902,金融機構放款餘額,19845555000000,F_Ins_Ln
9902,貨幣機構存款餘額,29009163000000,C_Ins_Dp
9902,貨幣機構放款餘額,18662849000000,C_Ins_Ln
9902,一般銀行國內總分行對中小企業放款,3187351000000,Country_SME
9902,一般銀行國內總分行及信用合作社消費者貸款餘額,972550000000,Country_C_CL
9902,一般銀行國內總分行消費者貸款餘額,6602184000000,Country_CL
9902,票券公司票債券交易金額(本月),2821996000000,Bund_Txn_Amt
9902,票券公司票債券交易金額(本年）,6744949000000,Bund_Txn_Amt_TY
9902,股價指數,7436.1,Stock_Index
9902,WPI,94.68,WPI
9902,CPI,98.39,CPI
9902,匯率,32.085,Exchange_Rate
9902,央行重貼現率,1.25,Rediscount_Rate
9902,基準利率,2.564,B_Ins_Rate
9902,經濟成長率,13.11,GDP
9902,外匯存底,352729000000,Y_DP
