年月,項目,數值,欄位名
10110,M1B,12011990000000,M1B
10110,金融機構存款餘額,32342958000000,F_Ins_Dp
10110,金融機構放款餘額,22659444000000,F_Ins_Ln
10110,貨幣機構存款餘額,32342958000000,C_Ins_Dp
10110,貨幣機構放款餘額,21424453000000,C_Ins_Ln
10110,一般銀行國內總分行對中小企業放款,4364576000000,Country_SME
10110,一般銀行國內總分行及信用合作社消費者貸款餘額,1156180000000,Country_C_CL
10110,一般銀行國內總分行消費者貸款餘額,6702055000000,Country_CL
10110,票券公司票債券交易金額(本月),3554867000000,Bund_Txn_Amt
10110,票券公司票債券交易金額(本年）,35809554000000,Bund_Txn_Amt_TY
10110,股價指數,7166.05,Stock_Index
10110,WPI,97.6,WPI
10110,CPI,103.12,CPI
10110,匯率,29.3,Exchange_Rate
10110,央行重貼現率,1.875,Rediscount_Rate
10110,基準利率,2.891,B_Ins_Rate
10110,經濟成長率,3.42,GDP
10110,外匯存底,399216000000,Y_DP
