年月,項目,數值,欄位名
10111,M1B,12068464000000,M1B
10111,金融機構存款餘額,32531754000000,F_Ins_Dp
10111,金融機構放款餘額,22646053000000,F_Ins_Ln
10111,貨幣機構存款餘額,32531754000000,C_Ins_Dp
10111,貨幣機構放款餘額,21401108000000,C_Ins_Ln
10111,一般銀行國內總分行對中小企業放款,4400923000000,Country_SME
10111,一般銀行國內總分行及信用合作社消費者貸款餘額,1154891000000,Country_C_CL
10111,一般銀行國內總分行消費者貸款餘額,6722828000000,Country_CL
10111,票券公司票債券交易金額(本月),3423436000000,Bund_Txn_Amt
10111,票券公司票債券交易金額(本年）,39232989000000,Bund_Txn_Amt_TY
10111,股價指數,7580.17,Stock_Index
10111,WPI,96.62,WPI
10111,CPI,102.34,CPI
10111,匯率,29.116,Exchange_Rate
10111,央行重貼現率,1.875,Rediscount_Rate
10111,基準利率,2.883,B_Ins_Rate
10111,經濟成長率,3.42,GDP
10111,外匯存底,400956000000,Y_DP
