年月,項目,數值,欄位名
9602,M1B,8450716000000,M1B
9602,金融機構存款餘額,25184940000000,F_Ins_Dp
9602,金融機構放款餘額,18850904000000,F_Ins_Ln
9602,貨幣機構存款餘額,25184940000000,C_Ins_Dp
9602,貨幣機構放款餘額,17714935000000,C_Ins_Ln
9602,一般銀行國內總分行對中小企業放款,2832611000000,Country_SME
9602,一般銀行國內總分行及信用合作社消費者貸款餘額,1035682000000,Country_C_CL
9602,一般銀行國內總分行消費者貸款餘額,6309155000000,Country_CL
9602,信託機構基金月底餘額,3780840000000,MF_Bal
9602,票券公司票債券交易金額,4998813000000,Bund_Txn_Amt
9602,票券公司票債券交易金額(本年）,14253414000000,Bund_Txn_Amt_TY
9602,股價指數,7901.96,Stock_Index
9602,WPI,90.49,WPI
9602,CPI,93.81,CPI
9602,美元匯率,32.95,Exchange_Rate
9602,央行重貼現率,2.75,Rediscount_Rate
9602,基準利率,3.969,B_Ins_Rate
9602,經濟成長率,4.45,GDP
9602,外匯存底,267987000000,Y_DP
