年月,項目,數值,欄位名
9506,M1B,7712063000000,M1B
9506,金融機構存款餘額,24358173000000,F_Ins_Dp
9506,金融機構放款餘額,18402357000000,F_Ins_Ln
9506,貨幣機構存款餘額,24358173000000,C_Ins_Dp
9506,貨幣機構放款餘額,17334066000000,C_Ins_Ln
9506,一般銀行國內總分行對中小企業放款,3132330000000,Country_SME
9506,一般銀行國內總分行及信用合作社消費者貸款餘額,1029964000000,Country_C_CL
9506,一般銀行國內總分行消費者貸款餘額,6262656000000,Country_CL
9506,信託機構基金月底餘額,3056165000000,MF_Bal
9506,票券公司票債券交易金額,8902929000000,Bund_Txn_Amt
9506,票券公司票債券交易金額(本年）,62114330000000,Bund_Txn_Amt_TY
9506,股價指數,6846.95,Stock_Index
9506,WPI,89.86,WPI
9506,CPI,94.43,CPI
9506,美元匯率,32.399,Exchange_Rate
9506,央行重貼現率,2.5,Rediscount_Rate
9506,基準利率,3.964,B_Ins_Rate
9506,經濟成長率,5.78,GDP
9506,外匯存底,260351000000,Y_DP
