年月,項目,數值,欄位名
10209,M1B,13008571000000,M1B
10209,金融機構存款餘額,34189964000000,F_Ins_Dp
10209,金融機構放款餘額,23563150000000,F_Ins_Ln
10209,貨幣機構存款餘額,34189964000000,C_Ins_Dp
10209,貨幣機構放款餘額,22172261000000,C_Ins_Ln
10209,一般銀行國內總分行對中小企業放款,4678779000000,Country_SME
10209,一般銀行國內總分行及信用合作社消費者貸款餘額,1206276000000,Country_C_CL
10209,一般銀行國內總分行消費者貸款餘額,6785858000000,Country_CL
10209,票券公司票債券交易金額(本月),3298042000000,Bund_Txn_Amt
10209,票券公司票債券交易金額(本年）,30434864000000,Bund_Txn_Amt_TY
10209,股價指數,8173.87,Stock_Index
10209,WPI,96.54,WPI
10209,CPI,104.06,CPI
10209,匯率,29.67,Exchange_Rate
10209,央行重貼現率,1.875,Rediscount_Rate
10209,基準利率,2.882,B_Ins_Rate
10209,經濟成長率,2.47,GDP
10209,外匯存底,412611000000,Y_DP
