年月,項目,數值,欄位名
9904,M1B,10638346000000,M1B
9904,金融機構存款餘額,29144935000000,F_Ins_Dp
9904,金融機構放款餘額,19899248000000,F_Ins_Ln
9904,貨幣機構存款餘額,29144935000000,C_Ins_Dp
9904,貨幣機構放款餘額,18724234000000,C_Ins_Ln
9904,一般銀行國內總分行對中小企業放款,3267938000000,Country_SME
9904,一般銀行國內總分行及信用合作社消費者貸款餘額,973635000000,Country_C_CL
9904,一般銀行國內總分行消費者貸款餘額,6634724000000,Country_CL
9904,票券公司票債券交易金額(本月),4533746000000,Bund_Txn_Amt
9904,票券公司票債券交易金額(本年）,16058666000000,Bund_Txn_Amt_TY
9904,股價指數,8004.25,Stock_Index
9904,WPI,96.54,WPI
9904,CPI,98.27,CPI
9904,匯率,31.418,Exchange_Rate
9904,央行重貼現率,1.25,Rediscount_Rate
9904,基準利率,2.568,B_Ins_Rate
9904,經濟成長率,12.89,GDP
9904,外匯存底,357557000000,Y_DP
