年月,項目,數值,欄位名
10005,M1B,11374651000000,M1B
10005,金融機構存款餘額,30781419000000,F_Ins_Dp
10005,金融機構放款餘額,21634178000000,F_Ins_Ln
10005,貨幣機構存款餘額,30781419000000,C_Ins_Dp
10005,貨幣機構放款餘額,20449579000000,C_Ins_Ln
10005,一般銀行國內總分行對中小企業放款,3902570000000,Country_SME
10005,一般銀行國內總分行及信用合作社消費者貸款餘額,1074529000000,Country_C_CL
10005,一般銀行國內總分行消費者貸款餘額,6678107000000,Country_CL
10005,票券公司票債券交易金額(本月),3736499000000,Bund_Txn_Amt
10005,票券公司票債券交易金額(本年）,18666065000000,Bund_Txn_Amt_TY
10005,股價指數,8988.84,Stock_Index
10005,WPI,100.19,WPI
10005,CPI,99.75,CPI
10005,匯率,28.772,Exchange_Rate
10005,央行重貼現率,1.75,Rediscount_Rate
10005,基準利率,2.766,B_Ins_Rate
10005,經濟成長率,4.56,GDP
10005,外匯存底,398683000000,Y_DP
