年月,項目,數值,欄位名
9812,M1B,10511586000000,M1B
9812,金融機構存款餘額,28978399000000,F_Ins_Dp
9812,金融機構放款餘額,19797879000000,F_Ins_Ln
9812,貨幣機構存款餘額,28978399000000,C_Ins_Dp
9812,貨幣機構放款餘額,18599228000000,C_Ins_Ln
9812,一般銀行國內總分行對中小企業放款,3229362000000,Country_SME
9812,一般銀行國內總分行及信用合作社消費者貸款餘額,977251000000,Country_C_CL
9812,一般銀行國內總分行消費者貸款餘額,6603814000000,Country_CL
9812,票券公司票債券交易金額(本月),4152452000000,Bund_Txn_Amt
9812,票券公司票債券交易金額(本年）,47253683000000,Bund_Txn_Amt_TY
9812,股價指數,8188.11,Stock_Index
9812,WPI,93.94,WPI
9812,CPI,97.75,CPI
9812,匯率,32.03,Exchange_Rate
9812,央行重貼現率,1.25,Rediscount_Rate
9812,基準利率,2.563,B_Ins_Rate
9812,經濟成長率,8.82,GDP
9812,外匯存底,348198000000,Y_DP
