年月,項目,數值,欄位名
9612,M1B,8219977000000,M1B
9612,金融機構存款餘額,25318874000000,F_Ins_Dp
9612,金融機構放款餘額,19200570000000,F_Ins_Ln
9612,貨幣機構存款餘額,25318874000000,C_Ins_Dp
9612,貨幣機構放款餘額,18021730000000,C_Ins_Ln
9612,一般銀行國內總分行對中小企業放款,3093752000000,Country_SME
9612,一般銀行國內總分行及信用合作社消費者貸款餘額,1071939000000,Country_C_CL
9612,一般銀行國內總分行消費者貸款餘額,6467510000000,Country_CL
9612,信託機構基金月底餘額,4698707000000,MF_Bal
9612,票券公司票債券交易金額,6247994000000,Bund_Txn_Amt
9612,票券公司票債券交易金額(本年）,85642065000000,Bund_Txn_Amt_TY
9612,股價指數,8506.28,Stock_Index
9612,WPI,98.32,WPI
9612,CPI,96.77,CPI
9612,美元匯率,32.443,Exchange_Rate
9612,央行重貼現率,3.375,Rediscount_Rate
9612,基準利率,4.313,B_Ins_Rate
9612,經濟成長率,6.51,GDP
9612,外匯存底,270311000000,Y_DP
