年月,項目,數值,欄位名
10304,M1B,13742091000000,M1B
10304,金融機構存款餘額,35441422000000,F_Ins_Dp
10304,金融機構放款餘額,24346183000000,F_Ins_Ln
10304,貨幣機構存款餘額,35441422000000,C_Ins_Dp
10304,貨幣機構放款餘額,22876430000000,C_Ins_Ln
10304,一般銀行國內總分行對中小企業放款,4838866000000,Country_SME
10304,一般銀行國內總分行及信用合作社消費者貸款餘額,1201135000000,Country_C_CL
10304,一般銀行國內總分行消費者貸款餘額,6929803000000,Country_CL
10304,票券公司票債券交易金額(本月),3727459000000,Bund_Txn_Amt
10304,票券公司票債券交易金額(本年）,13611894000000,Bund_Txn_Amt_TY
10304,股價指數,8791.44,Stock_Index
10304,WPI,96.83,WPI
10304,CPI,103.74,CPI
10304,匯率,30.258,Exchange_Rate
10304,央行重貼現率,1.875,Rediscount_Rate
10304,基準利率,2.883,B_Ins_Rate
10304,經濟成長率,2.79,GDP
10304,外匯存底,421495000000,Y_DP
