年月,項目,數值,欄位名
9609,M1B,8377108000000,M1B
9609,金融機構存款餘額,25233526000000,F_Ins_Dp
9609,金融機構放款餘額,19061530000000,F_Ins_Ln
9609,貨幣機構存款餘額,25233526000000,C_Ins_Dp
9609,貨幣機構放款餘額,17880974000000,C_Ins_Ln
9609,一般銀行國內總分行對中小企業放款,3011827000000,Country_SME
9609,一般銀行國內總分行及信用合作社消費者貸款餘額,1020875000000,Country_C_CL
9609,一般銀行國內總分行消費者貸款餘額,6451200000000,Country_CL
9609,信託機構基金月底餘額,4532735000000,MF_Bal
9609,票券公司票債券交易金額,5935857000000,Bund_Txn_Amt
9609,票券公司票債券交易金額(本年）,67036285000000,Bund_Txn_Amt_TY
9609,股價指數,9476.52,Stock_Index
9609,WPI,96.82,WPI
9609,CPI,96.47,CPI
9609,美元匯率,32.58,Exchange_Rate
9609,央行重貼現率,3.25,Rediscount_Rate
9609,基準利率,4.331,B_Ins_Rate
9609,經濟成長率,7.08,GDP
9609,外匯存底,262938000000,Y_DP
