年月,項目,數值,欄位名
9603,M1B,8319347000000,M1B
9603,金融機構存款餘額,25282762000000,F_Ins_Dp
9603,金融機構放款餘額,18881084000000,F_Ins_Ln
9603,貨幣機構存款餘額,25282762000000,C_Ins_Dp
9603,貨幣機構放款餘額,17745860000000,C_Ins_Ln
9603,一般銀行國內總分行對中小企業放款,2841321000000,Country_SME
9603,一般銀行國內總分行及信用合作社消費者貸款餘額,1031472000000,Country_C_CL
9603,一般銀行國內總分行消費者貸款餘額,6341206000000,Country_CL
9603,信託機構基金月底餘額,3890106000000,MF_Bal
9603,票券公司票債券交易金額,9771998000000,Bund_Txn_Amt
9603,票券公司票債券交易金額(本年）,24025412000000,Bund_Txn_Amt_TY
9603,股價指數,7884.41,Stock_Index
9603,WPI,91.64,WPI
9603,CPI,92.72,CPI
9603,美元匯率,33.089,Exchange_Rate
9603,央行重貼現率,2.875,Rediscount_Rate
9603,基準利率,3.977,B_Ins_Rate
9603,經濟成長率,4.45,GDP
9603,外匯存底,267485000000,Y_DP
