年月,項目,數值,欄位名
9802,M1B,8531692000000,M1B
9802,金融機構存款餘額,27639573000000,F_Ins_Dp
9802,金融機構放款餘額,19385732000000,F_Ins_Ln
9802,貨幣機構存款餘額,27639573000000,C_Ins_Dp
9802,貨幣機構放款餘額,18131610000000,C_Ins_Ln
9802,一般銀行國內總分行對中小企業放款,3069157000000,Country_SME
9802,一般銀行國內總分行及信用合作社消費者貸款餘額,1006789000000,Country_C_CL
9802,一般銀行國內總分行消費者貸款餘額,6375370000000,Country_CL
9802,票券公司票債券交易金額(本月),3521795000000,Bund_Txn_Amt
9802,票券公司票債券交易金額(本年）,6695424000000,Bund_Txn_Amt_TY
9802,股價指數,4557.15,Stock_Index
9802,WPI,89.24,WPI
9802,CPI,96.13,CPI
9802,匯率,34.95,Exchange_Rate
9802,央行重貼現率,1.25,Rediscount_Rate
9802,基準利率,3.162,B_Ins_Rate
9802,經濟成長率,-8.12,GDP
9802,外匯存底,294187000000,Y_DP
