年月,項目,數值,欄位名
10205,M1B,12698421000000,M1B
10205,金融機構存款餘額,33513785000000,F_Ins_Dp
10205,金融機構放款餘額,23046266000000,F_Ins_Ln
10205,貨幣機構存款餘額,33513785000000,C_Ins_Dp
10205,貨幣機構放款餘額,21731973000000,C_Ins_Ln
10205,一般銀行國內總分行對中小企業放款,4543557000000,Country_SME
10205,一般銀行國內總分行及信用合作社消費者貸款餘額,1170569000000,Country_C_CL
10205,一般銀行國內總分行消費者貸款餘額,6718804000000,Country_CL
10205,票券公司票債券交易金額(本月),3649634000000,Bund_Txn_Amt
10205,票券公司票債券交易金額(本年）,16728503000000,Bund_Txn_Amt_TY
10205,股價指數,8254.8,Stock_Index
10205,WPI,96.0,WPI
10205,CPI,102.24,CPI
10205,匯率,30.06,Exchange_Rate
10205,央行重貼現率,1.875,Rediscount_Rate
10205,基準利率,2.883,B_Ins_Rate
10205,經濟成長率,1.98,GDP
10205,外匯存底,406616000000,Y_DP
