年月,項目,數值,欄位名
9707,M1B,7912607000000,M1B
9707,金融機構存款餘額,26030040000000,F_Ins_Dp
9707,金融機構放款餘額,19623562000000,F_Ins_Ln
9707,貨幣機構存款餘額,26030040000000,C_Ins_Dp
9707,貨幣機構放款餘額,18402761000000,C_Ins_Ln
9707,一般銀行國內總分行對中小企業放款,3168736000000,Country_SME
9707,一般銀行國內總分行及信用合作社消費者貸款餘額,1096238000000,Country_C_CL
9707,一般銀行國內總分行消費者貸款餘額,6486160000000,Country_CL
9707,信託機構基金月底餘額,6277183000000,MF_Bal
9707,票券公司票債券交易金額,4527649000000,Bund_Txn_Amt
9707,票券公司票債券交易金額(本年）,35157005000000,Bund_Txn_Amt_TY
9707,股價指數,7024.06,Stock_Index
9707,WPI,105.87,WPI
9707,CPI,99.81,CPI
9707,美元匯率,30.59,Exchange_Rate
9707,央行重貼現率,3.625,Rediscount_Rate
9707,基準利率,4.404,B_Ins_Rate
9707,經濟成長率,-1.23,GDP
9707,外匯存底,290898000000,Y_DP
