年月,項目,數值,欄位名
10004,M1B,11452961000000,M1B
10004,金融機構存款餘額,30785296000000,F_Ins_Dp
10004,金融機構放款餘額,21476223000000,F_Ins_Ln
10004,貨幣機構存款餘額,30785296000000,C_Ins_Dp
10004,貨幣機構放款餘額,20290514000000,C_Ins_Ln
10004,一般銀行國內總分行對中小企業放款,3830714000000,Country_SME
10004,一般銀行國內總分行及信用合作社消費者貸款餘額,1078119000000,Country_C_CL
10004,一般銀行國內總分行消費者貸款餘額,6660838000000,Country_CL
10004,票券公司票債券交易金額(本月),3592379000000,Bund_Txn_Amt
10004,票券公司票債券交易金額(本年）,14929567000000,Bund_Txn_Amt_TY
10004,股價指數,9007.87,Stock_Index
10004,WPI,101.04,WPI
10004,CPI,99.56,CPI
10004,匯率,28.762,Exchange_Rate
10004,央行重貼現率,1.75,Rediscount_Rate
10004,基準利率,2.73,B_Ins_Rate
10004,經濟成長率,4.56,GDP
10004,外匯存底,399541000000,Y_DP
