年月,項目,數值,欄位名
9708,M1B,7957564000000,M1B
9708,金融機構存款餘額,26013369000000,F_Ins_Dp
9708,金融機構放款餘額,19628103000000,F_Ins_Ln
9708,貨幣機構存款餘額,26013369000000,C_Ins_Dp
9708,貨幣機構放款餘額,18398071000000,C_Ins_Ln
9708,一般銀行國內總分行對中小企業放款,3167830000000,Country_SME
9708,一般銀行國內總分行及信用合作社消費者貸款餘額,1081256000000,Country_C_CL
9708,一般銀行國內總分行消費者貸款餘額,6472213000000,Country_CL
9708,信託機構基金月底餘額,6251097000000,MF_Bal
9708,票券公司票債券交易金額,4288124000000,Bund_Txn_Amt
9708,票券公司票債券交易金額(本年）,39445129000000,Bund_Txn_Amt_TY
9708,股價指數,7046.11,Stock_Index
9708,WPI,104.68,WPI
9708,CPI,100.06,CPI
9708,美元匯率,31.52,Exchange_Rate
9708,央行重貼現率,3.625,Rediscount_Rate
9708,基準利率,4.416,B_Ins_Rate
9708,經濟成長率,-1.23,GDP
9708,外匯存底,282087000000,Y_DP
