年月,項目,數值,欄位名
9502,M1B,7801376000000,M1B
9502,金融機構存款餘額,24018277000000,F_Ins_Dp
9502,金融機構放款餘額,18281217000000,F_Ins_Ln
9502,貨幣機構存款餘額,24018277000000,C_Ins_Dp
9502,貨幣機構放款餘額,17243591000000,C_Ins_Ln
9502,一般銀行國內總分行對中小企業放款,2532673000000,Country_SME
9502,一般銀行國內總分行及信用合作社消費者貸款餘額,1035373000000,Country_C_CL
9502,一般銀行國內總分行消費者貸款餘額,6204742000000,Country_CL
9502,信託機構基金月底餘額,2769134000000,MF_Bal
9502,票券公司票債券交易金額,9978957000000,Bund_Txn_Amt
9502,票券公司票債券交易金額(本年）,22501147000000,Bund_Txn_Amt_TY
9502,股價指數,6561.63,Stock_Index
9502,WPI,84.78,WPI
9502,CPI,92.2,CPI
9502,美元匯率,32.455,Exchange_Rate
9502,央行重貼現率,2.25,Rediscount_Rate
9502,基準利率,3.886,B_Ins_Rate
9502,經濟成長率,5.82,GDP
9502,外匯存底,256979000000,Y_DP
